회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등당첨총금액,1등당첨금액,1등당첨자수,2등당첨총금액,2등당첨금액,2등당첨자수,3등당첨총금액,3등당첨금액,3등당첨자수,4등당첨총금액,4등당첨금액,4등당첨자수,5등당첨총금액,5등당첨금액,5등당첨자수
189,8,14,32,35,37,45,28,10385325300,3461775100,3,1730887554,52451138,33,1730888565,1595289,1085,3461805111,66327,52193,4516400000,5000,903280
190,8,14,18,30,31,44,15,10704956700,1784159450,6,1784159454,54065438,33,1784160008,1756063,1016,3568333567,66337,53791,4590635000,5000,918127
191,5,6,24,25,32,37,8,10308458700,2577114675,4,1718076471,74698977,23,1718077080,1500504,1145,3436197900,57606,59650,5086670000,5000,1017334
192,4,8,11,18,37,45,33,9781393500,2445348375,4,1630232262,42900849,38,1630232442,1484729,1098,3260470722,58467,55766,4715210000,5000,943042
193,6,14,18,26,36,39,13,10213349100,3404449700,3,1702224860,85111243,20,1702225330,1499758,1135,3404463642,58059,58638,4871990000,5000,974398
194,15,20,23,26,39,44,28,10602271500,2650567875,4,1767045252,84145012,21,1767046208,1648364,1072,3534090615,65985,53559,4585305000,5000,917061
195,7,10,19,22,35,40,31,10108918501,918992591,11,1684819752,25527572,66,1684821086,996346,1691,3369644784,47916,70324,5339165000,5000,1067833
196,35,36,37,41,44,45,30,10918147800,727876520,15,1819691325,67395975,27,1819691874,1198743,1518,3639404377,62663,58079,4689835000,5000,937967
197,7,12,16,34,42,45,4,10818109800,1803018300,6,1803018336,42929008,42,1803019198,1467062,1229,3606038988,61588,58551,4966470000,5000,993294
198,12,19,20,25,41,45,2,10787130300,1797855050,6,1797855050,71914202,25,1797855150,1712243,1050,3595762852,64564,55693,4828460000,5000,965692
199,14,21,22,25,30,36,43,10688504400,5344252200,2,1781417413,77452931,23,1781418094,1698206,1049,3562838706,64281,55426,4696360000,5000,939272
200,5,6,13,14,17,20,7,10756932904,1344616613,8,1792822166,30910727,58,1792822330,1292590,1387,3585655921,54137,66233,5391990000,5000,1078398
201,3,11,24,38,39,44,26,9719465400,9719465400,1,1619910912,43781376,37,1619911629,1202607,1347,3239841285,53073,61045,4928275000,5000,985655
202,12,14,27,33,39,44,17,11360350200,1893391700,6,1893391720,47334793,40,1893391808,1536844,1232,3786812856,60558,62532,5218100000,5000,1043620
203,1,3,11,24,30,32,7,10822823700,2164564740,5,1803803990,41948930,43,1803805136,1358287,1328,3607642308,53913,66916,5478640000,5000,1095728
204,3,12,14,35,40,45,5,10866777000,1358347125,8,1811129503,78744761,23,1811130080,1534856,1180,3622301702,62837,57646,4927580000,5000,985516
205,1,3,21,29,35,37,30,11011330800,1835221800,6,1835221815,87391515,21,1835222454,1671423,1098,3670482222,65466,56067,4813040000,5000,962608
206,1,2,3,15,20,25,43,10164296700,2032859340,5,1694049480,47056930,36,1694049909,1093641,1549,3388163440,50992,66445,5222995000,5000,1044599
207,3,11,14,31,32,37,38,10523368800,2104673760,5,1753894831,47402563,37,1753895805,1457935,1203,3507813117,57627,60871,5102220000,5000,1020444
208,14,25,31,34,40,44,24,10564604400,1760767400,6,1760767418,51787277,34,1760768064,1438536,1224,3521543999,54787,64277,5150515000,5000,1030103
209,2,7,18,20,24,33,37,9965378100,1660896350,6,1660896362,48849893,34,1660896468,1223046,1358,3321806523,50351,65973,5267725000,5000,1053545
210,10,19,22,23,25,37,39,10278171900,5139085950,2,1713028684,37239754,46,1713029010,1319745,1298,3426078150,53262,64325,5248695000,5000,1049739
211,12,13,17,20,33,41,8,10358002500,1035800250,10,1726333750,59528750,29,1726335024,1319828,1308,3452716575,53295,64785,5403000000,5000,1080600
212,11,12,18,21,31,38,8,10642989000,2660747250,4,1773831528,49273098,36,1773832492,1444489,1228,3547715538,55382,64059,5331245000,5000,1066249
213,2,3,4,5,20,24,42,11013424200,1376678025,8,1835570715,55623355,33,1835571351,928463,1977,3671236362,38462,95451,6016840000,5000,1203368
214,5,7,20,25,28,37,32,11255847000,1406980875,8,1875974508,52110403,36,1875974692,1309124,1433,3752011827,53433,70219,5838125000,5000,1167625
215,2,3,7,15,43,44,4,11113827305,1587689615,7,1852304576,57884518,32,1852305312,1484219,1248,3704653764,56218,65898,5314835000,5000,1062967
216,7,16,17,33,36,40,1,11030579404,848506108,13,1838429901,29181427,63,1838430080,703840,2612,3676919734,46441,79174,5786710000,5000,1157342
217,16,20,27,33,35,39,38,11278723204,1611246172,7,1879787221,64820249,29,1879787376,1558696,1206,3759605756,58601,64156,5332450000,5000,1066490
218,1,8,14,18,29,44,20,11116303200,2779075800,4,1852717204,71258354,26,1852717443,1540081,1203,3705437460,61255,60492,4981985000,5000,996397
219,4,11,20,26,35,37,16,10875682503,1208409167,9,1812613772,44210092,41,1812613984,1402952,1292,3625253527,56743,63889,5325735000,5000,1065147
220,5,11,19,21,34,43,31,11748569700,1958094950,6,1958094964,69931963,28,1958095845,1486785,1317,3916248536,58216,67271,5610750000,5000,1122150
221,2,20,33,35,37,40,10,10800625500,1800104250,6,1800104284,40911461,44,1800104544,1119468,1608,3600224349,47711,75459,5836025000,5000,1167205
222,5,7,28,29,39,43,44,11375969100,2275193820,5,1895994870,57454390,33,1895995465,1715833,1105,3792002874,66418,57093,4907650000,5000,981530
223,1,3,18,20,26,27,38,10487194200,1498170600,7,1747865730,44817070,39,1747866504,1234369,1416,3495751038,51782,67509,5539780000,5000,1107956
224,4,19,26,27,30,42,7,10853819700,1808969950,6,1808969968,69575768,26,1808970858,1562151,1158,3617984397,59753,60549,5127855000,5000,1025571
225,5,11,13,19,31,36,7,10663210800,1777201800,6,1777201826,43346386,41,1777202856,1380888,1287,3554419888,54448,65281,5403990000,5000,1080798
226,2,6,8,14,21,22,34,10464600900,1744100150,6,1744100174,45897373,38,1744101180,1336476,1305,3488233364,54439,64076,5131820000,5000,1026364
227,4,5,15,16,22,42,2,10507084800,5253542400,2,1751180808,72965867,24,1751181259,1587653,1103,3502396693,61811,56663,4710580000,5000,942116
228,17,25,35,36,39,44,23,10320303006,1146700334,9,1720050501,44103859,39,1720051182,1285539,1338,3440156244,52122,66002,5181545000,5000,1036309
229,4,5,9,11,23,38,35,10160087700,1451441100,7,1693347957,62716591,27,1693348544,1290662,1312,3386733744,50156,67524,5448015000,5000,1089603
230,5,11,14,29,32,33,12,10343433304,1292929163,8,1723905550,68956222,25,1723905689,1662397,1037,3447811740,61190,56346,4856620000,5000,971324
231,5,10,19,31,44,45,27,9795293100,1088365900,9,1632548856,85923624,19,1632549772,1288516,1267,3265129861,55051,59311,4852325000,5000,970465
232,8,9,10,12,24,44,35,9998265600,1110918400,9,1666377612,92576534,18,1666377704,1314178,1268,3332810000,51274,65000,5118540000,5000,1023708
233,4,6,13,17,28,40,39,9991537500,999153750,10,1665256268,64048318,26,1665256866,1307109,1274,3330551565,53259,62535,5105840000,5000,1021168
234,13,21,22,24,26,37,4,10078975500,2519743875,4,1679829265,73036055,23,1679829787,1601363,1049,3359658642,61167,54926,4608750000,5000,921750
235,21,22,26,27,31,37,8,10299990300,3433330100,3,1716665063,59195347,29,1716665238,1457271,1178,3433359036,57657,59548,4507045000,5000,901409
236,1,4,8,13,37,39,7,10060080300,5030040150,2,1676680076,40894636,41,1676680470,1602945,1046,3353407440,61553,54480,4704135000,5000,940827
237,1,11,17,21,24,44,33,10084415103,1440630729,7,1680735888,43095792,39,1680736050,1530725,1098,3361497588,58626,57338,4871785000,5000,974357
238,2,4,15,28,31,34,35,10094945103,1121660567,9,1682490854,58016926,29,1682491252,1578322,1066,3364989240,61640,54591,4651330000,5000,930266
239,11,15,24,39,41,44,7,10207261503,1134140167,9,1701210267,58662423,29,1701211056,1570832,1083,3402437850,60921,55850,4636180000,5000,927236
240,6,10,16,40,41,43,21,10196502900,5098251450,2,1699417160,60693470,28,1699417152,1567728,1084,3398839488,59238,57376,4807550000,5000,961510
241,2,16,24,27,28,35,21,10208065200,2552016300,4,1701344224,50039536,34,1701344635,1759405,967,3402689061,63267,53783,4610005000,5000,922001
242,4,19,20,21,32,34,43,9876339000,1234542375,8,1646056512,45723792,36,1646056830,1322134,1245,3292120184,54286,60644,4879315000,5000,975863
243,2,12,17,19,28,42,34,9635400000,2408850000,4,1605900027,55375863,29,1605900384,1474656,1089,3211839990,59418,54055,4593415000,5000,918683
244,13,16,25,36,37,38,19,9121583100,9121583100,1,1520263850,60810554,25,1520264888,1387103,1096,3040540290,55353,54930,4502885000,5000,900577
245,9,11,27,31,32,38,22,9678081903,1382583129,7,1613013675,46086105,35,1613013948,1477119,1092,3226053755,56159,57445,4797175000,5000,959435
246,13,18,21,23,26,39,15,9558871200,1911774240,5,1593145216,61274816,26,1593145626,1231179,1294,3186335200,53462,59600,4795125000,5000,959025
247,12,15,28,36,39,40,13,10015883400,1669313900,6,1669313921,57562549,29,1669314591,1638189,1019,3338647104,63856,52284,4422710000,5000,884542
248,3,8,17,23,38,45,13,9819834904,1227479363,8,1636639152,71158224,23,1636639620,1417004,1155,3273305528,55624,58847,4807810000,5000,961562
249,3,8,27,31,41,44,11,9981412200,1663568700,6,1663568702,57364438,29,1663568830,1423070,1169,3327186852,59378,56034,4633880000,5000,926776
250,19,23,30,37,43,45,38,9973631400,1994726280,5,1662271900,97780700,17,1662272110,1581610,1051,3324565888,64771,51328,4438685000,5000,887737
251,6,7,19,25,28,38,45,10260931200,1282616400,8,1710155200,42753880,40,1710155754,1376937,1242,3420313295,55153,62015,5144955000,5000,1028991
252,14,23,26,31,39,45,28,9737628005,1391089715,7,1622938008,67622417,24,1622938828,1493044,1087,3245876565,62547,51895,4374580000,5000,874916
253,8,19,25,31,34,36,33,9864758100,2466189525,4,1644126360,82206318,20,1644127191,1406439,1169,3288266736,57604,57084,4713410000,5000,942682
254,1,5,19,20,24,30,27,9741015900,9741015900,1,1623502650,49197050,33,1623503525,1325309,1225,3247018992,54852,59196,4894530000,5000,978906
255,1,5,6,24,27,42,32,9591711300,1598618550,6,1598618554,122970658,13,1598618664,1516716,1054,3197239758,57689,55422,4726485000,5000,945297
256,4,11,14,21,23,43,32,9782034000,4891017000,2,1630339032,47951148,34,1630340120,1367735,1192,3260679250,57230,56975,4694900000,5000,938980
257,6,13,27,31,32,37,4,9565508100,2391377025,4,1594251360,88569520,18,1594251738,1292986,1233,3188503092,54996,57977,4774305000,5000,954861
258,14,27,30,31,38,40,17,9705737400,2426434350,4,1617622916,57772247,28,1617624028,938297,1724,3235279894,59213,54638,4505985000,5000,901197
259,4,5,14,35,42,45,34,9677067000,4838533500,2,1612844500,64513780,25,1612845070,1565869,1030,3225728000,64000,50402,4324340000,5000,864868
260,7,12,15,24,37,40,43,9240342300,2310085575,4,1540057064,59232964,26,1540057848,1199422,1284,3080158718,52871,58258,4669535000,5000,933907
261,6,11,16,18,31,43,2,9576897300,3192299100,3,1596149568,49879674,32,1596149952,1445788,1104,3192316345,56717,56285,4646025000,5000,929205
262,9,12,24,25,29,31,36,9037483200,4518741600,2,1506247218,71726058,21,1506248128,1361888,1106,3012521562,54966,54807,4553645000,5000,910729
263,1,27,28,32,37,40,18,9310229400,1551704900,6,1551704904,57470552,27,1551705732,1656036,937,3103418340,61466,50490,4321515000,5000,864303
264,9,16,27,36,41,44,5,9414224400,1344889200,7,1569037419,58112497,27,1569038388,1498604,1047,3138113632,62642,50096,4201215000,5000,840243
265,5,9,34,37,38,39,12,9606708600,1200838575,8,1601118106,84269374,19,1601118660,1585266,1010,3202271394,60459,52966,4445780000,5000,889156
266,3,4,9,11,22,42,37,9621635100,3207211700,3,1603605852,44544607,36,1603606476,1343054,1194,3207219320,54526,58820,4932475000,5000,986495
267,7,8,24,34,36,41,1,9772989900,3257663300,3,1628831652,58172559,28,1628832268,1427548,1141,3257681322,59122,55101,4629610000,5000,925922
268,3,10,19,24,32,45,12,9456681605,1350954515,7,1576113630,45031818,35,1576114572,1157206,1362,3152232720,50960,61857,4845765000,5000,969153
269,5,18,20,36,42,43,32,9806999700,1961399940,5,1634499966,74295453,22,1634500062,1611933,1014,3269013510,64715,50514,4333810000,5000,866762
270,5,9,12,20,21,26,27,9639150300,1927830060,5,1606525056,50203908,32,1606525758,1293499,1242,3213071268,53724,59807,4857425000,5000,971485
271,3,8,9,27,29,40,36,9395508900,1565918150,6,1565918172,55925649,28,1565919256,1246751,1256,3131863362,52709,59418,4780635000,5000,956127
272,7,9,12,27,39,43,28,9941605200,1104622800,9,1656934227,42485493,39,1656935540,1209442,1370,3313876761,52419,63219,5085995000,5000,1017199
273,1,8,24,31,34,44,6,10018629300,3339543100,3,1669771551,79512931,21,1669772440,1523515,1096,3339546752,59431,56192,4710390000,5000,942078
274,13,14,15,26,35,39,25,10020342300,2505085575,4,1670057086,45136678,37,1670057136,1331784,1254,3340146255,58277,57315,4615285000,5000,923057
275,14,19,20,35,38,40,26,10044066900,10044066900,1,1674011150,88105850,19,1674012065,1689215,991,3348045141,64813,51657,4424795000,5000,884959
276,4,15,21,33,39,41,25,9937707000,3312569000,3,1656284523,53428533,31,1656284922,1426602,1161,3312617352,55308,59894,4720960000,5000,944192
277,10,12,13,15,25,29,20,9817883400,3272627800,3,1636313920,52784320,31,1636314576,1482169,1104,3272651181,59211,55271,4571215000,5000,914243
278,3,11,37,39,41,43,13,9559590000,3186530000,3,1593265005,59009815,27,1593265806,1463054,1089,3186563324,57268,55643,4611440000,5000,922288
279,7,16,31,36,37,38,11,9571026600,1914205320,5,1595171124,59080412,27,1595171200,1466150,1088,3190365286,57566,55421,4613560000,5000,922712
280,10,11,23,24,36,37,35,9486809703,1355258529,7,1581134958,58560554,27,1581135080,1380904,1145,3162276495,58653,53915,4525650000,5000,905130
281,1,3,4,6,14,41,12,9328099200,1554683200,6,1554683205,42018465,37,1554683592,1042712,1491,3109412159,41713,74543,4853425000,5000,970685
282,2,5,10,18,31,32,30,9254368501,1322052643,7,1542394752,48199836,32,1542395405,1012735,1523,3084799410,46530,66297,5101640000,5000,1020328
283,6,8,18,31,38,45,42,9411673800,3137224600,3,1568612304,65358846,24,1568613169,1478429,1061,3137266734,59206,52989,4380535000,5000,876107
284,2,7,15,24,30,45,28,9352920900,3117640300,3,1558820158,111344297,14,1558820715,1632273,955,3117678067,61691,50537,4298500000,5000,859700
285,13,33,37,40,41,45,2,9493110300,3164370100,3,1582185072,60853272,26,1582185546,1555738,1017,3164417515,61705,51283,4360585000,5000,872117
286,1,15,19,40,42,44,17,9709698900,3236566300,3,1618283151,59936413,27,1618283338,1566586,1033,3236580822,66246,48857,4289410000,5000,857882
287,6,12,24,27,35,37,41,9300599700,1328657100,7,1550099978,41894594,37,1550100370,1165489,1330,3100203117,51161,60597,4810745000,5000,962149
288,1,12,17,28,35,41,10,9429046200,2357261550,4,1571507712,65479488,24,1571508576,1488171,1056,3143038038,62553,50246,4269990000,5000,853998
289,3,14,33,37,38,42,10,0,0,0,1530280656,63761694,24,1530281212,1501748,1019,3060582021,58541,52281,4400515000,5000,880103
290,8,13,18,32,39,45,7,27939787512,2149214424,13,3126350650,51251650,61,3126352523,1361059,2297,6252784896,58573,106752,8917645000,5000,1783529
291,3,7,8,18,20,42,45,10154096400,1450585200,7,1692349425,43393575,39,1692349566,1379258,1227,3384703872,54144,62513,5148215000,5000,1029643
292,17,18,31,32,33,34,10,10085235300,720373950,14,1680872556,45428988,37,1680873264,995778,1688,3361774608,50256,66893,4888590000,5000,977718
293,1,9,17,21,29,33,24,9940586400,1656764400,6,1656764403,78893543,21,1656765488,1435672,1154,3313549812,54268,61059,4632210000,5000,926442
294,6,10,17,30,37,38,40,9626019900,2406504975,4,1604336656,61705256,26,1604337699,1411027,1137,3208690320,56496,56795,4738540000,5000,947708
295,1,4,12,16,18,38,8,0,0,0,1637216750,62969875,26,1637217691,1616207,1013,3274438256,59131,55376,4751900000,5000,950380
296,3,8,15,27,30,45,44,24528706200,3066088275,8,2450900995,46243415,53,2450901998,1186303,2066,4901822610,54498,89945,7179940000,5000,1435988
297,6,11,19,20,28,32,34,10113337500,5056668750,2,1685556264,60198438,28,1685556375,1322005,1275,3371150256,55032,61258,4965175000,5000,993035
298,5,9,27,29,37,40,19,9909778500,9909778500,1,1651629760,41290744,40,1651630101,1220717,1353,3303265170,51970,63561,5059540000,5000,1011908
299,1,3,20,25,36,45,24,10386407703,1483772529,7,1731067971,59691999,29,1731068716,1548362,1118,3462141550,59575,58114,4921275000,5000,984255
300,7,9,10,12,26,38,39,10033109100,836092425,12,1672184872,49181908,34,1672185552,1180922,1416,3344415678,47646,70193,5510675000,5000,1102135
301,7,11,13,33,37,43,26,10131695105,1447385015,7,1688615859,35927997,47,1688616283,1328573,1271,3377293916,51361,65756,5302430000,5000,1060486
302,13,19,20,32,38,42,4,10944334500,5472167250,2,1824055772,41455813,44,1824056010,1608515,1134,3648158800,61360,59455,4950745000,5000,990149
303,2,14,17,30,38,45,43,10036494000,1672749000,6,1672749000,57681000,29,1672749528,1444516,1158,3345520094,59459,56266,4693390000,5000,938678
304,4,10,16,26,33,41,38,9969876900,1661646150,6,1661646172,44909356,37,1661646500,1165250,1426,3323315824,53519,62096,4962865000,5000,992573
305,7,8,18,21,23,39,9,10041050700,2008210140,5,1673508458,49220837,34,1673509410,1215330,1377,3347069418,50589,66162,5245245000,5000,1049049
306,4,18,23,30,34,41,19,10513347600,2102669520,5,1752224617,76183679,23,1752224732,1437428,1219,3504503714,61822,56687,4688485000,5000,937697
307,5,15,21,23,25,45,12,10350573000,2587643250,4,1725095512,61610554,28,1725095944,1465672,1177,3450249000,58085,59400,4689540000,5000,937908
308,14,15,17,19,37,45,40,10232872800,10232872800,1,1705478814,63165882,27,1705479432,1743844,978,3410965289,63461,53749,4614920000,5000,922984
309,1,2,5,11,18,36,22,9917852406,901622946,11,1652975400,66119016,25,1652975490,1189191,1390,3305972250,47826,69125,5549010000,5000,1109802
310,1,5,19,28,34,41,16,10373706600,1296713325,8,1728951116,59619004,29,1728951096,1592036,1086,3457932128,64088,53956,4569530000,5000,913906
311,4,12,24,27,28,32,10,9901528504,1237691063,8,1650254774,38378018,43,1650254976,1210752,1363,3300541000,50950,64780,5102060000,5000,1020412
312,2,3,5,6,12,20,25,9435267300,629017820,15,1572544604,27112838,58,1572545088,761892,2064,3145154074,34211,91934,5402250000,5000,1080450
313,9,17,34,35,43,45,2,10292536800,1715422800,6,1715422800,65977800,26,1715423360,1531628,1120,3430870164,61548,55743,4681820000,5000,936364
314,15,17,19,34,38,41,2,9963073200,1660512200,6,1660512216,69188009,24,1660512348,1556244,1067,3321075784,60502,54892,4558925000,5000,911785
315,1,13,33,35,43,45,23,10469829000,1308728625,8,1744971520,54530360,32,1744971902,1641554,1063,3489948837,62091,56207,4719875000,5000,943975
316,10,11,21,27,31,39,43,10041518400,1673586400,6,1673586404,57709876,29,1673587740,1197130,1398,3347188252,48967,68356,5301020000,5000,1060204
317,3,10,11,22,36,39,8,10305034200,2576258550,4,1717505700,68700228,25,1717506624,1517232,1132,3435018680,59672,57565,4892500000,5000,978500
318,2,17,19,20,34,45,21,10866929400,1207436600,9,1811154912,64684104,28,1811155261,1311481,1381,3622336887,56531,64077,5220315000,5000,1044063
319,5,8,22,28,33,42,37,10678296900,2135659380,5,1779716172,68450622,26,1779716485,1546235,1151,3559465170,59833,59490,4920430000,5000,984086
320,16,19,23,25,41,45,3,11026135800,5513067900,2,1837689300,73507572,25,1837690271,1699991,1081,3675413132,64412,57061,4953050000,5000,990610
321,12,18,20,21,25,34,42,11754816600,1959136100,6,1959136130,55975318,35,1959137224,1535374,1276,3918335360,56960,68791,5717630000,5000,1143526
322,9,18,29,32,38,43,20,11427268200,1904544700,6,1904544724,65673956,29,1904545415,1300031,1465,3809140982,56158,67829,5428700000,5000,1085740
323,10,14,15,32,36,42,3,11688203104,1461025388,8,1948033854,72149402,27,1948034850,1657902,1175,3896111660,64085,60796,5124400000,5000,1024880
324,2,4,21,25,33,36,17,11190782100,1865130350,6,1865130360,46628259,40,1865130608,1518836,1228,3730262830,59710,62473,5342855000,5000,1068571
325,7,17,20,32,44,45,33,10836734700,1806122450,6,1806122472,54730984,33,1806123180,1435710,1258,3612252833,57677,62629,5257265000,5000,1051453
326,16,23,25,33,36,39,40,10992807300,1832134550,6,1832134565,59101115,31,1832135310,1372386,1335,3664302399,57177,64087,5290930000,5000,1058186
327,6,12,13,17,32,44,24,10592097000,882674750,12,1765349508,45265372,39,1765350234,1421377,1242,3530698485,55515,63599,5242285000,5000,1048457
328,1,6,9,16,17,28,24,10918775400,1819795900,6,1819795920,60659864,30,1819796340,1318693,1380,3639609630,54657,66590,5460535000,5000,1092107
329,9,17,19,30,35,42,4,10982347200,1830391200,6,1830391200,55466400,33,1830391425,1506495,1215,3660817336,58376,62711,5295340000,5000,1059068
330,3,4,16,17,19,20,23,10460521800,1162280200,9,1743420320,54481885,32,1743421644,1218324,1431,3486863250,50370,69225,5495545000,5000,1099109
331,4,9,14,26,31,44,39,10829513100,2165902620,5,1804918860,40109308,45,1804919025,1322285,1365,3609893322,55866,64617,5271545000,5000,1054309
332,16,17,34,36,42,45,3,10875587104,1359448388,8,1812597884,48989132,37,1812598164,1650818,1098,3625221637,60589,59833,4895300000,5000,979060
333,5,14,27,30,39,43,35,10856910001,1550987143,7,1809485028,50263473,36,1809486315,1325631,1365,3619017066,60326,59991,4914685000,5000,982937
334,13,15,21,29,39,43,33,10661020804,1523002972,7,1776836827,57317317,31,1776837330,1684206,1055,3553695474,67934,52311,4451460000,5000,890292
335,5,9,16,23,26,45,21,10187462400,2037492480,5,1697910424,60639658,28,1697911566,1389453,1222,3395820946,56057,60578,5009635000,5000,1001927
336,3,5,20,34,35,44,16,10113795900,1685632650,6,1685632650,56187755,30,1685632809,1704381,989,3371269314,61422,54887,4678340000,5000,935668
337,1,5,14,18,32,37,4,10060004104,1257500513,8,1676667366,50808102,33,1676668530,1404245,1194,3353391104,56462,59392,4949560000,5000,989912
338,2,13,34,38,42,45,16,10150293000,3383431000,3,1691715519,43377321,39,1691716398,1506426,1123,3383462772,62091,54492,4650855000,5000,930171
339,6,8,14,21,30,37,45,9871005006,1096778334,9,1645167520,51411485,32,1645168050,1486150,1107,3290372580,60324,54545,4566145000,5000,913229
340,18,24,26,29,34,38,32,10075752302,1439393186,7,1679292055,47979773,35,1679293125,1492705,1125,3358600168,59752,56209,4653140000,5000,930628
341,1,8,19,34,39,43,41,10480454404,1497207772,7,1746742404,52931588,33,1746743245,1414367,1235,3493514248,59458,58756,4893800000,5000,978760
342,1,13,14,33,34,43,25,10362287400,3454095800,3,1727047904,59553376,29,1727048587,1467331,1177,3454118033,61517,56149,4620615000,5000,924123
343,1,10,17,29,31,43,15,10302918000,1717153000,6,1717153017,59212173,29,1717153616,1566746,1096,3434316548,63842,53794,4656700000,5000,931340
344,1,2,15,28,34,45,38,10269745801,1467106543,7,1711624304,74418448,23,1711624586,1547581,1106,3423262128,60593,56496,4803200000,5000,960640
345,15,20,23,29,39,42,2,10407155100,5203577550,2,1734525884,45645418,38,1734525896,1687282,1028,3469080468,68394,50722,4420210000,5000,884042
346,5,13,14,22,44,45,33,10088636700,2017727340,5,1681439474,64670749,26,1681439850,1467225,1146,3362932755,61695,54509,4616800000,5000,923360
347,3,8,13,27,32,42,10,10196370002,1456624286,7,1699395036,44720922,38,1699396078,1214722,1399,3398843866,53306,63761,5115920000,5000,1023184
348,3,14,17,20,24,31,34,9899982000,3299994000,3,1649997018,44594514,37,1649998168,1350244,1222,3300006702,50233,65694,4893185000,5000,978637
349,5,13,14,20,24,25,36,10059627000,3353209000,3,1676604532,45313636,37,1676605600,1435450,1168,3353249718,56511,59338,4950890000,5000,990178
350,1,8,18,24,29,33,35,9909472203,1101052467,9,1651578710,71807770,23,1651578705,1379765,1197,3303200340,57527,57420,4824760000,5000,964952
351,5,25,27,29,34,36,33,10333428600,2583357150,4,1722238109,59387521,29,1722238914,1514722,1137,3444478368,62094,55472,4751365000,5000,950273
352,5,16,17,20,26,41,24,10397149500,1732858250,6,1732858257,59753733,29,1732859062,1486157,1166,3465732110,58810,58931,5031190000,5000,1006238
353,11,16,19,22,29,36,26,10581676500,5290838250,2,1763612757,60814233,29,1763613134,1692527,1042,3527249586,65058,54217,4640335000,5000,928067
354,14,19,36,43,44,45,1,10622321700,2124464340,5,1770386970,52070205,34,1770387216,1745944,1014,3540827466,65187,54318,4650975000,5000,930195
355,5,8,29,30,35,44,38,10727124000,2145424800,5,1787854008,74493917,24,1787854184,1634236,1094,3575719540,66058,54130,4629985000,5000,925997
356,2,8,14,25,29,45,24,10414667403,1157185267,9,1735777929,46912917,37,1735778790,1374330,1263,3471616282,56761,61162,4984700000,5000,996940
357,10,14,18,21,36,37,5,10626788700,5313394350,2,1771131474,65597462,27,1771132176,1587036,1116,3542273721,62643,56547,4904890000,5000,980978
358,1,9,10,12,21,40,37,10417964700,3472654900,3,1736327472,39461988,44,1736328216,1256388,1382,3472680348,50884,68247,5462640000,5000,1092528
359,1,10,19,20,24,40,23,10293700800,1286712600,8,1715616814,46368022,37,1715617656,1036001,1656,3431256626,46822,73283,5487960000,5000,1097592
360,4,16,23,25,35,40,27,10700148600,3566716200,3,1783358115,54041155,33,1783358320,1476290,1208,3566732229,59139,60311,5025935000,5000,1005187
361,5,10,16,24,27,35,33,10311805805,1473115115,7,1718634312,50548068,34,1718634379,1174733,1463,3437323533,51039,67347,5344995000,5000,1068999
362,2,3,22,27,30,40,29,10376547900,1729424650,6,1729424658,66516333,26,1729425453,1474361,1173,3458884604,60898,56798,4873935000,5000,974787
363,11,12,14,21,32,38,6,10463642400,2615910600,4,1743940407,52846679,33,1743940992,1434162,1216,3487888072,58451,59672,4992570000,5000,998514
364,2,5,7,14,16,40,4,10127659200,2531914800,4,1687943219,45620087,37,1687943818,1340702,1259,3375940095,53421,63195,5216570000,5000,1043314
365,5,15,21,25,26,30,31,10697716800,10697716800,1,1782952815,50941509,35,1782953338,1509698,1181,3565964232,57081,62472,5073505000,5000,1014701
366,5,12,19,26,27,44,38,10703107800,5351553900,2,1783851303,45739777,39,1783851762,1103186,1617,3567704107,49921,71467,5142570000,5000,1028514
367,3,22,25,29,32,44,19,11072156102,1581736586,7,1845359386,49874578,37,1845359889,1759161,1049,3690732096,66912,55158,4776060000,5000,955212
368,11,21,24,30,39,45,26,10260775805,1465825115,7,1710129314,45003403,38,1710129845,1431071,1195,3420311400,59400,57581,4771730000,5000,954346
369,17,20,35,36,41,43,21,11053066500,1842177750,6,1842177759,59425089,31,1842178871,1592203,1157,3684358852,62044,59383,4936360000,5000,987272
370,16,18,24,42,44,45,17,11752593601,1678941943,7,1958765600,61211425,32,1958766368,1677026,1168,3917580849,64701,60549,5293670000,5000,1058734
371,7,9,15,26,27,42,18,10668913801,1524130543,7,1778152313,61315597,29,1778152560,1480560,1201,3556333132,57266,62102,5140060000,5000,1028012
372,8,11,14,16,18,21,13,10733338800,1192593200,9,1788889801,48348373,37,1788889824,1307668,1368,3577784904,57186,62564,5194635000,5000,1038927
373,15,26,37,42,43,45,9,11167204500,2791801125,4,1861200773,64179337,29,1861201250,1666250,1117,3722407381,64559,57659,4935525000,5000,987105
374,11,13,15,17,25,34,26,11057435700,5528717850,2,1842905952,68255776,27,1842906510,1318245,1398,3685817376,52816,69786,5611600000,5000,1122320
375,4,8,19,25,27,45,7,11068988406,1581284058,7,1844831436,43924558,42,1844832158,1442402,1279,3689671457,56807,64951,5484155000,5000,1096831
376,1,11,13,24,28,40,7,11741494800,1956915800,6,1956915849,38370899,51,1956915900,1386900,1411,3913854750,56355,69450,5759390000,5000,1151878
377,6,22,29,37,43,45,23,11736256200,3912085400,3,1956042704,88911032,22,1956042886,1632757,1198,3912087664,66608,58733,5048790000,5000,1009758
